split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_gate_fail_overfit_gap,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_validation_relative_total_return,train_diag_active_selected,train_diag_selected_via_pareto,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_5,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_5,param_w_vol_21,param_w_vol_ratio_5_21,param_w_ret_accel,param_tactical_scale,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,0.006876,437,260,220,9,11,5,0,30,0,0,1,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,0.0,0.0,0.0,0.0,True,True,200,57,0.41358,-0.126555,0.583443,-0.320015,0.324335,1.123394,0.896376,-0.461805,-0.095237,-0.295255,0.6061,0.0,0.31732,0.004634
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,0.006876,437,260,220,9,11,5,0,30,0,0,1,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,0.0,0.0,0.0,0.0,True,True,200,57,0.41358,-0.126555,0.583443,-0.320015,0.324335,1.123394,0.896376,-0.461805,-0.095237,-0.295255,0.6061,0.0,0.31732,0.004634
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.006771,373,260,220,74,0,0,0,65,0,0,0,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,0.0,0.0,0.0,0.0,True,True,200,61,0.41358,-0.126555,0.583443,-0.320015,0.324335,1.123394,0.896376,-0.461805,-0.095237,-0.295255,0.6061,0.0,0.31732,0.004634
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.006771,373,260,220,74,0,0,0,65,0,0,0,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,0.0,0.0,0.0,0.0,True,True,200,61,0.41358,-0.126555,0.583443,-0.320015,0.324335,1.123394,0.896376,-0.461805,-0.095237,-0.295255,0.6061,0.0,0.31732,0.004634
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.362189,0.362189,0.0,0.0,0.0,0.0,0,0.0,0.023186,463,260,220,0,0,8,0,9,0,0,0,False,False,1,0,0.89,0.0,0.0,0.3,0.5,0.2,0.0,0.0,0.0,0.0,True,True,200,196,0.033486,-0.824675,0.239357,0.438009,1.063353,0.775495,0.497672,-0.086963,0.111157,0.665244,-0.620616,0.0,0.540327,0.005589
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.23565,0.23565,0.0,0.0,0.0,0.0,0,0.0,0.023186,463,260,220,0,0,8,0,9,0,0,0,False,False,1,0,0.89,0.0,0.0,0.3,0.5,0.2,0.0,0.0,0.0,0.0,True,True,200,196,0.033486,-0.824675,0.239357,0.438009,1.063353,0.775495,0.497672,-0.086963,0.111157,0.665244,-0.620616,0.0,0.540327,0.005589
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.272629,0.272629,0.0,0.0,0.0,0.0,0,0.0,0.006876,432,260,220,14,8,6,0,38,0,0,1,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,0.0,0.0,0.0,0.0,True,True,200,57,0.303687,0.122748,0.632901,-0.041896,-0.436603,-0.350433,0.827683,-0.142569,-0.59005,0.614233,0.956521,0.0,0.701216,0.00962
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.299071,0.299071,0.0,0.0,0.0,0.0,0,0.0,0.006876,432,260,220,14,8,6,0,38,0,0,1,False,False,1,0,0.245,0.31,0.39,0.6,0.25,0.15,0.0,0.0,0.0,0.0,True,True,200,57,0.303687,0.122748,0.632901,-0.041896,-0.436603,-0.350433,0.827683,-0.142569,-0.59005,0.614233,0.956521,0.0,0.701216,0.00962
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.006771,375,260,220,60,0,0,0,74,0,0,0,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,0.0,0.0,0.0,0.0,True,True,200,61,0.303687,0.122748,0.632901,-0.041896,-0.436603,-0.350433,0.827683,-0.142569,-0.59005,0.614233,0.956521,0.0,0.701216,0.00962
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.006771,375,260,220,60,0,0,0,74,0,0,0,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,0.0,0.0,0.0,0.0,True,True,200,61,0.303687,0.122748,0.632901,-0.041896,-0.436603,-0.350433,0.827683,-0.142569,-0.59005,0.614233,0.956521,0.0,0.701216,0.00962
